t-1,t,Source Node,Destination Node,Batch size
-1,0,101,58,1
-1,0,109,23,1
-1,0,70,47,1
-1,0,117,11,1
-1,0,81,79,1
-1,0,76,29,1
-1,0,21,42,1
-1,0,4,94,1
0,1,65,2,1
0,1,29,27,1
0,1,72,39,1
0,1,24,4,1
0,1,28,4,1
0,1,23,0,1
0,1,27,98,1
0,1,43,45,1
1,2,30,21,1
1,2,46,24,1
1,2,100,29,1
1,2,75,6,1
1,2,30,22,1
1,2,37,16,1
1,2,32,49,1
1,2,9,105,1
2,3,63,15,1
2,3,92,48,1
2,3,80,77,1
2,3,111,31,1
2,3,87,37,1
2,3,61,21,1
2,3,53,62,1
2,3,35,47,1
3,4,54,28,1
3,4,69,33,1
3,4,54,34,1
3,4,56,4,1
3,4,98,22,1
3,4,103,51,1
3,4,61,119,1
3,4,14,21,1
4,5,31,24,1
4,5,36,23,1
4,5,64,17,1
4,5,36,1,1
4,5,30,26,1
4,5,88,46,1
4,5,53,77,1
4,5,24,108,1
5,6,97,48,1
5,6,50,28,1
5,6,66,41,1
5,6,73,22,1
5,6,115,11,1
5,6,54,13,1
5,6,62,110,1
5,6,54,117,1
6,7,61,54,1
6,7,64,38,1
6,7,45,20,1
6,7,26,24,1
6,7,37,24,1
6,7,69,30,1
6,7,18,27,1
6,7,38,40,1
7,8,118,36,1
7,8,59,35,1
7,8,111,39,1
7,8,5,0,1
7,8,101,94,1
7,8,34,13,1
7,8,24,26,1
7,8,111,112,1
8,9,69,4,1
8,9,61,53,1
8,9,33,7,1
8,9,57,41,1
8,9,79,44,1
8,9,71,21,1
8,9,68,70,1
8,9,112,113,1
9,10,78,23,1
9,10,25,11,1
9,10,32,24,1
9,10,55,28,1
9,10,25,0,1
9,10,58,38,1
9,10,92,95,1
9,10,103,104,1
10,11,63,49,1
10,11,44,30,1
10,11,65,53,1
10,11,47,2,1
10,11,78,39,1
10,11,78,30,1
10,11,38,61,1
10,11,55,106,1
11,12,25,24,1
11,12,108,7,1
11,12,11,0,1
11,12,43,5,1
11,12,56,23,1
11,12,23,2,1
11,12,22,29,1
11,12,89,106,1
12,13,27,3,1
12,13,73,37,1
12,13,44,16,1
12,13,68,11,1
12,13,77,60,1
12,13,115,5,1
12,13,58,66,1
12,13,94,101,1
13,14,32,25,1
13,14,38,28,1
13,14,85,27,1
13,14,59,29,1
13,14,18,0,1
13,14,89,37,1
13,14,63,117,1
13,14,30,78,1
14,15,59,29,1
14,15,41,34,1
14,15,26,25,1
14,15,72,45,1
14,15,44,37,1
14,15,66,57,1
14,15,72,102,1
14,15,10,112,1
15,16,55,28,1
15,16,61,28,1
15,16,114,29,1
15,16,115,111,1
15,16,38,30,1
15,16,30,16,1
15,16,23,60,1
15,16,20,59,1
16,17,31,1,1
16,17,108,31,1
16,17,60,53,1
16,17,71,25,1
16,17,112,27,1
16,17,28,18,1
16,17,21,55,1
16,17,18,36,1
17,18,46,21,1
17,18,91,66,1
17,18,30,16,1
17,18,79,61,1
17,18,57,22,1
17,18,46,25,1
17,18,7,92,1
17,18,38,77,1
18,19,113,6,1
18,19,47,21,1
18,19,21,16,1
18,19,94,23,1
18,19,83,24,1
18,19,53,4,1
18,19,15,47,1
18,19,35,74,1
19,20,117,22,1
19,20,65,24,1
19,20,108,46,1
19,20,76,26,1
19,20,21,13,1
19,20,95,40,1
19,20,23,57,1
19,20,41,61,1
20,21,54,23,1
20,21,29,4,1
20,21,46,23,1
20,21,23,0,1
20,21,39,24,1
20,21,61,53,1
20,21,21,27,1
20,21,43,50,1
21,22,91,10,1
21,22,98,27,1
21,22,29,12,1
21,22,113,6,1
21,22,75,41,1
21,22,30,22,1
21,22,32,34,1
21,22,23,60,1
22,23,88,53,1
22,23,76,24,1
22,23,53,22,1
22,23,38,30,1
22,23,105,38,1
22,23,42,15,1
22,23,43,107,1
22,23,63,72,1
23,24,111,31,1
23,24,93,50,1
23,24,42,38,1
23,24,84,21,1
23,24,54,34,1
23,24,54,21,1
23,24,14,60,1
23,24,31,62,1
24,25,23,21,1
24,25,58,10,1
24,25,45,26,1
24,25,96,72,1
24,25,22,19,1
24,25,66,32,1
24,25,4,45,1
24,25,4,66,1
25,26,63,47,1
25,26,27,23,1
25,26,85,37,1
25,26,61,21,1
25,26,64,53,1
25,26,67,61,1
25,26,57,114,1
25,26,34,64,1
26,27,34,11,1
26,27,41,30,1
26,27,42,15,1
26,27,112,3,1
26,27,96,70,1
26,27,60,56,1
26,27,14,27,1
26,27,89,95,1
27,28,115,7,1
27,28,50,23,1
27,28,79,77,1
27,28,68,18,1
27,28,65,24,1
27,28,117,58,1
27,28,33,97,1
27,28,47,93,1
28,29,52,46,1
28,29,49,2,1
28,29,58,57,1
28,29,109,33,1
28,29,82,48,1
28,29,80,33,1
28,29,4,104,1
28,29,12,119,1
29,30,83,23,1
29,30,72,24,1
29,30,45,7,1
29,30,46,26,1
29,30,44,26,1
29,30,30,0,1
29,30,35,36,1
29,30,4,66,1
30,31,50,16,1
30,31,102,25,1
30,31,36,6,1
30,31,99,45,1
30,31,92,60,1
30,31,93,88,1
30,31,53,107,1
30,31,53,77,1
31,32,28,21,1
31,32,102,94,1
31,32,53,4,1
31,32,54,50,1
31,32,26,2,1
31,32,62,31,1
31,32,42,66,1
31,32,50,95,1
32,33,5,0,1
32,33,36,27,1
32,33,47,35,1
32,33,36,32,1
32,33,58,10,1
32,33,94,4,1
32,33,51,81,1
32,33,49,83,1
33,34,37,14,1
33,34,43,9,1
33,34,30,7,1
33,34,88,3,1
33,34,85,37,1
33,34,42,21,1
33,34,64,107,1
33,34,29,64,1
34,35,82,58,1
34,35,89,29,1
34,35,83,44,1
34,35,46,16,1
34,35,50,25,1
34,35,119,55,1
34,35,4,79,1
34,35,58,83,1
35,36,60,23,1
35,36,34,13,1
