node_id,Budget_share,degree,capacity
0,0.0,3,164.0
1,0.0,2,84.0
2,0.0,5,417.0
3,0.0,7,98.0
4,0.0,3,70.0
5,0.0,2,30.0
6,0.0,5,264.0
7,0.0,9,1212.0
8,0.0,3,220.0
9,0.0,4,195.0
10,0.0,3,168.0
11,0.0,2,47.0
12,0.0,7,542.0
13,0.0,2,30.0
14,0.0,4,99.0
15,0.0,3,30.0
16,0.0,2,30.0
17,0.0,3,56.0
18,0.0,2,106.0
19,0.0,3,30.0
20,0.0,7,75.0
21,0.0,2,50.0
22,0.0,4,60.0
23,0.0,2,30.0
24,0.0,2,30.0
25,0.0,5,2386.0
26,0.0,2,30.0
27,0.0,3,35.0
28,0.0,2,34.0
29,0.0,2,55.0
30,0.0,2,34.0
31,0.00021904022584675952,4,114.0
32,0.0,2,30.0
33,0.0,2,30.0
34,0.0,5,63.0
35,0.0,4,315.0
36,0.0,4,57.0
37,0.0,3,73.0
38,0.0,2,30.0
39,0.0,3,30.0
40,0.0,4,61.0
41,0.0,5,66.0
42,0.0,2,30.0
43,0.0,4,52.0
44,0.0,3,30.0
45,0.0,3,30.0
46,0.0,4,30.0
47,0.0,10,147.0
48,0.0,2,30.0
49,0.0,2,30.0
50,0.0,4,44.0
51,0.0,2,108.0
52,0.0,2,53.0
53,0.0,2,30.0
54,13.7606606489883,2,30.0
55,0.0,2,30.0
56,0.0,5,75.0
57,0.0,3,42.0
58,0.0,3,603.0
59,0.0,2,414.0
60,0.0,5,106.0
61,0.0,2,55.0
62,0.0,14,861.0
63,0.0,2,30.0
64,0.0,2,30.0
65,0.0,3,114.0
66,0.0,5,387.0
67,0.0,3,63.0
68,0.0,8,263.0
69,0.0,2,169.0
70,0.0,5,207.0
71,0.0,2,2170.0
72,0.0,3,30.0
73,0.0,2,125.0
74,0.0,3,30.0
75,0.0,2,48.0
76,0.029327664448200567,3,30.0
77,0.0,2,30.0
78,0.0,2,30.0
79,0.0,2,30.0
80,0.0,8,249.0
81,0.0,2,30.0
82,0.0,3,95.0
83,0.0,5,58.0
84,0.0,2,30.0
85,0.0,2,30.0
86,0.0,3,30.0
87,0.0,7,2238.0
88,0.0,5,30.0
89,0.0,1,30.0
90,0.0,2,42.0
91,0.0,7,119.0
92,0.0,2,125.0
93,0.0,10,2376.0
94,0.0,4,163.0
95,0.0,3,30.0
96,0.0,4,30.0
97,0.0,6,361.0
98,0.0,2,30.0
99,0.0,4,30.0
100,0.0,2,30.0
101,0.0,4,80.0
102,0.0,3,165.0
103,0.0,7,75.0
104,0.0,3,32.0
105,0.0,3,511.0
106,0.0,1,30.0
107,0.0,4,715.0
108,0.0,3,30.0
109,0.0,4,855.0
110,0.0,2,30.0
111,0.0,2,371.0
112,0.0,3,30.0
113,0.0,2,30.0
114,0.0,5,47.0
115,0.0,2,30.0
116,0.0,6,35.0
117,0.0021170206935635376,2,30.0
118,0.0,2,109.0
119,0.0,2,30.0
120,0.0,11,1461.0
121,0.0,3,126.0
122,0.0,3,34.0
123,0.0,3,30.0
124,0.0,3,44.0
125,0.0,2,30.0
126,0.0,2,70.0
127,0.0,2,76.0
128,0.0,4,30.0
129,0.0,7,365.0
130,0.0,4,30.0
131,0.0,2,30.0
132,0.0,14,956.0
133,0.0,4,474.0
134,0.0,3,282.0
135,0.0,4,527.0
136,0.0,6,320.0
137,0.0,5,30.0
138,0.0,7,380.0
139,0.0,3,506.0
140,0.0,2,193.0
141,0.0,8,183.0
142,0.0,3,97.0
143,0.0,2,40.0
144,0.0,6,30.0
145,0.0,1,30.0
146,0.0,2,42.0
147,0.0,2,30.0
148,0.0,2,30.0
149,0.0,3,2170.0
150,0.0,2,79.0
151,0.0,2,38.0
