Source,Target
17559,37995
17559,52445
17559,53066
17559,38950
17559,28948
17559,53873
17559,52347
37995,55569
9077,42595
9077,54084
9077,52522
42595,54904
42595,53287
21543,53405
21543,40718
21543,53400
21543,53717
21543,37315
53405,51177
53405,42052
53405,34727
53405,46713
53405,46402
25455,53379
25455,44556
53379,51208
53379,43514
53379,47867
53379,38805
53379,41181
53379,29849
53379,49151
53379,43517
53379,46880
53379,44178
53379,33064
53379,45325
53379,36370
53379,40245
53379,50609
53379,33519
53379,46285
53379,54786
53379,44971
53379,44785
53379,33694
53379,49004
53379,43001
53379,30698
53379,36837
53379,37387
11775,46912
11775,53040
46912,56506
46912,51966
46912,52291
46912,51955
46912,52725
23949,50571
23949,52558
50571,56898
14253,53136
14253,49746
14253,53069
14253,53788
14253,53056
53136,31226
53136,31829
53136,44634
53136,38448
53136,47120
53136,49999
53136,39732
53136,48097
53136,46640
53136,40149
53136,31377
53136,49492
53136,43181
53136,37953
53136,30023
53136,47922
53136,48543
53136,47252
53136,56224
53136,31279
53136,40561
53136,51550
53136,32763
53136,41823
53136,30357
53136,38701
53136,33593
53136,30019
53136,48483
53136,49712
53136,44018
53136,41399
53136,54680
53136,55785
53136,36697
53136,47591
53136,33856
53136,41792
21409,53103
21409,31840
53103,48134
53103,30977
53103,39771
53103,41399
53103,30618
53103,31613
53103,50463
53103,45052
53103,41166
53103,43199
53103,39006
53103,45148
53103,56487
53103,37713
53103,44549
53103,55876
53103,39107
53103,54613
53103,51779
53103,44061
53103,36742
53103,39773
53103,49870
53103,40950
53103,49591
53103,43446
53103,38888
53103,42799
53103,46143
120,53876
120,45392
120,50677
120,31114
120,53099
120,31585
120,53488
53876,34079
9725,53004
9725,44906
53004,50528
53004,44218
53004,36000
53004,29083
53004,31648
53004,42978
53004,29506
53004,55289
53004,54797
53004,51036
53004,46851
53004,55235
53004,37375
53004,37493
53004,41757
53004,34136
53004,50657
53004,35473
53004,42634
53004,30371
53004,43611
22754,34857
22754,54091
22754,53736
22754,53754
34857,54871
34857,53329
25126,53941
25126,35402
25126,38009
25126,52109
25126,53535
25126,53085
25126,42731
53941,34536
53941,49468
53941,50448
53941,46968
53941,47754
53941,49600
53941,45622
53941,41481
53941,29950
53941,30116
53941,31011
53941,30641
53941,55493
53941,56103
53941,55259
53941,56226
53941,51784
53941,49956
53941,46453
53941,49937
53941,57185
53941,31522
53941,50900
53941,54778
53941,47494
53941,40822
53941,55625
15789,47523
15789,51869
47523,51834
47523,54384
47523,53708
26680,31401
26680,53072
31401,52691
12108,53663
12108,31668
12108,53104
53663,44767
53663,51523
53663,43782
53663,47380
53663,46314
53663,57224
53663,43631
53663,55958
53663,39424
53663,43483
8619,49128
8619,32344
8619,53281
8619,52494
8619,52642
8619,52412
8619,53440
8619,42637
8619,53816
8619,52782
8619,51907
8619,49338
8619,52565
49128,55172
20489,53400
20489,49479
53400,48772
53400,30425
53400,45790
53400,43711
53400,56494
53400,47915
53400,55646
53400,41027
53400,49692
53400,54856
53400,28945
53400,51811
6474,52491
6474,52273
6474,51453
6474,33977
52491,31315
52491,43673
52491,41411
52491,44140
52491,36419
52491,56420
52491,31017
52491,41109
52491,47726
52491,36594
52491,57166
52491,38448
52491,41692
9752,44090
9752,51959
44090,55639
44090,55295
44090,52975
44090,52314
44090,52824
9118,53824
9118,48464
53824,38295
53824,41983
53824,44206
53824,33622
53824,47493
53824,36951
53824,37103
53824,33493
53824,55919
53824,50978
53824,55236
53824,43051
53824,46295
53824,54486
53824,55026
53824,42859
53824,42458
53824,48524
53824,29528
53824,47347
53824,38429
53824,36081
53824,48645
53824,55111
53824,48340
53824,51212
53824,46519
53824,34392
53824,54459
53824,46176
53824,47626
53824,46002
53824,33522
639,30779
639,52068
30779,54860
30779,52095
23499,52946
23499,51053
23499,29918
52946,34212
52946,39059
52946,37187
52946,47916
52946,39684
52946,42700
52946,50524
52946,47709
52946,50319
52946,56535
52946,54467
52946,39430
52946,29865
52946,50929
23437,54130
23437,41465
23437,53626
23437,32022
23437,53846
23437,52861
23437,52727
23437,47574
23437,53586
23437,53969
23437,52398
23437,34157
23437,53351
23437,53177
23437,44803
54130,38276
54130,55733
15015,52406
15015,51096
15015,53351
15015,47292
15015,29365
15015,51054
15015,50528
52406,29802
52406,43935
52406,34618
52406,29504
52406,50636
52406,51176
52406,44769
52406,39628
52406,51470
52406,54691
52406,43260
52406,36238
52406,37841
19188,53875
19188,49951
53875,44644
53875,35077
53875,40971
53875,30426
53875,36258
53875,32522
53875,41211
53875,42878
53875,35865
53875,42749
53875,55764
53875,57461
53875,41129
53875,41577
53875,44599
53875,45853
53875,33091
53875,51796
53875,33819
53875,36987
53875,39523
53875,45518
53875,30453
53875,40785
53875,55024
53875,49705
10354,52612
10354,52966
10354,52021
10354,47069
52612,35879
52612,56443
6268,49996
6268,54060
6268,38175
6268,53634
6268,54013
49996,54332
22901,51976
22901,48259
51976,32178
23220,52484
23220,38198
23220,47755
23220,52764
23220,52521
23220,36133
52484,34407
52484,44046
52484,47734
52484,43135
52484,45837
52484,57088
52484,30137
52484,57124
52484,56996
20051,53510
20051,36990
20051,40251
20051,54120
20051,49369
53510,30810
53510,36223
53510,29533
53510,30962
53510,55419
53510,47024
53510,41692
53510,42356
53510,47304
53510,45990
16123,31080
16123,48484
16123,49271
16123,53502
16123,53384
16123,50172
16123,40643
16123,51909
16123,53842
31080,53252
16422,36329
16422,53878
16422,52289
36329,51837
36329,54719
28306,53092
28306,50143
28306,54108
28306,52121
53092,41205
53092,35935
53092,49553
53092,54475
53092,31723
53092,32366
21564,51451
21564,52562
21564,53057
51451,52861
51451,56306
6529,53179
6529,37515
6529,43454
6529,31272
6529,36160
53179,30914
53179,55752
6664,53952
6664,47570
53952,46672
53952,44397
53952,55149
53952,39073
4056,53646
4056,41601
4056,53505
53646,40617
53646,29575
53646,32130
53646,30453
53646,38012
53646,45200
53646,32338
53646,42489
53646,50473
53646,43916
53646,57022
53646,56807
53646,45710
53646,40175
53646,36795
53646,31377
53646,56094
53646,48211
53646,35974
53646,31501
53646,45707
53646,54683
53646,48179
53646,37743
18274,32557
18274,52960
32557,52305
780,54038
780,44970
780,35904
54038,51739
54038,51602
54038,47671
54038,44673
54038,31743
54038,54702
54038,49165
54038,36713
54038,49709
54038,54568
54038,39855
54038,48864
4058,44713
4058,52361
44713,55743
26797,43663
26797,52237
43663,54386
43663,53815
14051,52557
14051,35073
14051,52246
14051,52985
14051,53661
52557,44273
52557,31373
52557,55505
52557,39748
52557,43396
2643,52483
2643,53035
2643,46178
2643,54110
52483,35062
52483,46776
52483,43476
52483,49987
52483,31186
52483,46948
52483,42269
52483,34175
52483,47461
52483,37756
52483,37021
52483,47674
52483,49229
52483,36557
52483,36585
52483,47563
52483,30815
52483,38489
52483,45062
52483,49544
52483,46451
52483,32520
52483,43156
52483,42265
52483,42617
52483,56704
52483,39732
52483,35395
52483,54529
52483,31386
52483,45330
52483,51708
52483,31736
52483,55721
52483,45385
52483,54696
52483,31488
52483,46682
52483,41682
52483,37980
52483,29688
52483,54513
52483,34529
52483,36782
52483,29801
52483,35934
52483,45611
52483,39772
52483,51425
52483,32286
52483,46605
52483,37674
52483,48034
539,33866
539,53954
33866,52924
33866,57175
10562,38721
10562,53608
10562,52970
10562,50260
10562,37139
38721,53362
14328,51916
14328,36714
51916,38221
51916,30486
51916,40683
51916,39842
51916,43950
51916,46095
51916,29514
51916,40814
51916,41407
51916,36515
51916,38256
51916,51303
51916,56027
51916,56878
51916,56636
51916,35294
51916,42436
51916,54962
51916,42099
51916,41208
51916,36331
51916,49828
51916,38373
51916,40990
51916,47073
11902,53246
11902,36576
11902,53250
11902,53130
11902,53701
11902,51408
53246,48643
53246,31056
53246,56245
53246,35374
14315,53277
14315,34538
14315,53197
14315,34496
53277,51675
53277,47484
53277,32659
53277,30384
53277,44523
53277,44929
53277,43153
53277,33408
53277,35947
53277,45424
53277,34602
53277,36027
53277,49901
53277,57201
53277,51407
53277,35893
53277,45784
53277,46233
53277,36102
6601,53239
6601,44102
6601,51837
6601,49443
6601,52815
53239,49634
53239,48546
53239,55982
960,47918
960,52856
47918,53790
47918,53514
47918,52815
47918,55706
47918,52846
25435,51952
25435,49399
51952,30073
51952,56445
51952,55952
51952,29135
51952,32531
25941,51871
25941,31651
25941,52117
25941,41127
25941,51937
51871,39883
51871,42585
51871,49474
51871,33657
51871,56982
51871,32792
51871,51453
51871,39074
51871,30396
51871,37225
51871,40309
51871,57303
51871,35967
51871,32153
2422,52076
2422,45837
52076,29472
52076,32542
52076,48388
52076,31187
52076,57458
52076,39034
52076,56390
52076,34245
52076,46554
52076,51678
18166,50220
18166,43627
18166,53274
50220,56926
28433,36201
28433,53514
28433,49045
28433,52569
36201,52254
823,39189
823,53813
39189,56152
26926,52210
26926,46568
26926,52428
26926,51919
26926,45862
52210,48996
52210,51465
52210,34024
52210,35548
52210,41729
52210,46265
52210,33814
52210,51716
52210,29494
52210,43897
52210,40305
52210,30103
52210,46138
52210,44228
52210,32366
52210,57078
52210,50285
52210,43549
52210,56060
52210,45954
52210,35454
52210,32775
52210,32619
52210,54888
52210,43421
52210,56877
52210,54147
52210,35661
52210,37022
52210,33064
52210,55636
52210,46491
52210,39107
52210,34008
52210,47278
52210,34548
52210,42951
6505,41657
6505,51831
6505,48346
41657,53346
41657,56272
17876,35739
17876,52810
17876,30192
35739,56882
15573,37016
15573,53242
15573,31510
15573,52703
15573,34191
15573,53055
15573,35298
15573,52732
37016,51855
13049,52382
13049,31843
13049,48856
13049,53527
13049,39599
13049,53425
13049,51890
13049,52500
13049,52686
13049,34929
52382,29289
52382,37225
52382,46213
52382,49954
52382,47219
52382,45064
52382,30974
52382,43365
52382,43415
52382,32687
52382,29215
52382,39606
52382,50444
52382,50695
52382,29719
52382,37335
52382,55804
52382,33715
52382,32401
52382,30967
52382,49091
52382,31644
52382,40718
52382,39771
52382,47397
52382,37497
52382,54500
