source, target,distance 
69,69,0
5,69,1
8,69,1
17,69,1
18,69,1
23,69,1
29,69,1
30,69,1
33,69,1
37,69,1
38,69,1
41,69,1
44,69,1
45,69,1
49,69,1
50,69,1
51,69,1
56,69,1
59,69,1
65,69,1
67,69,1
0,69,2
1,69,2
2,69,2
3,69,2
4,69,2
6,69,2
7,69,2
9,69,2
10,69,2
11,69,2
12,69,2
13,69,2
14,69,2
15,69,2
16,69,2
19,69,2
20,69,2
21,69,2
22,69,2
24,69,2
25,69,2
26,69,2
27,69,2
28,69,2
31,69,2
32,69,2
34,69,2
35,69,2
36,69,2
39,69,2
40,69,2
42,69,2
43,69,2
46,69,2
47,69,2
48,69,2
52,69,2
54,69,2
57,69,2
58,69,2
62,69,2
63,69,2
64,69,2
53,69,3
55,69,3
61,69,3
67,67,0
1,67,1
2,67,1
11,67,1
15,67,1
16,67,1
17,67,1
20,67,1
26,67,1
29,67,1
30,67,1
31,67,1
32,67,1
33,67,1
34,67,1
36,67,1
41,67,1
44,67,1
45,67,1
49,67,1
63,67,1
0,67,2
3,67,2
4,67,2
5,67,2
6,67,2
7,67,2
8,67,2
9,67,2
10,67,2
12,67,2
13,67,2
14,67,2
18,67,2
19,67,2
21,67,2
22,67,2
23,67,2
24,67,2
25,67,2
27,67,2
28,67,2
35,67,2
37,67,2
38,67,2
39,67,2
42,67,2
46,67,2
47,67,2
51,67,2
52,67,2
55,67,2
40,67,3
43,67,3
48,67,3
50,67,3
56,56,0
0,56,1
6,56,1
10,56,1
17,56,1
22,56,1
24,56,1
25,56,1
26,56,1
27,56,1
28,56,1
29,56,1
31,56,1
34,56,1
36,56,1
37,56,1
41,56,1
42,56,1
43,56,1
47,56,1
54,56,1
1,56,2
2,56,2
3,56,2
4,56,2
5,56,2
7,56,2
8,56,2
9,56,2
11,56,2
12,56,2
13,56,2
14,56,2
15,56,2
16,56,2
18,56,2
19,56,2
20,56,2
21,56,2
23,56,2
30,56,2
32,56,2
33,56,2
35,56,2
38,56,2
39,56,2
40,56,2
44,56,2
45,56,2
46,56,2
49,56,2
53,56,2
50,56,3
29,29,0
1,29,1
2,29,1
4,29,1
5,29,1
6,29,1
7,29,1
10,29,1
11,29,1
12,29,1
16,29,1
17,29,1
18,29,1
20,29,1
21,29,1
22,29,1
23,29,1
24,29,1
25,29,1
26,29,1
28,29,1
0,29,2
3,29,2
8,29,2
9,29,2
13,29,2
14,29,2
15,29,2
19,29,2
27,29,2
33,33,0
2,33,1
3,33,1
7,33,1
10,33,1
15,33,1
16,33,1
18,33,1
19,33,1
20,33,1
21,33,1
22,33,1
23,33,1
24,33,1
25,33,1
26,33,1
27,33,1
29,33,1
30,33,1
31,33,1
32,33,1
0,33,2
1,33,2
4,33,2
5,33,2
6,33,2
8,33,2
9,33,2
11,33,2
12,33,2
13,33,2
14,33,2
17,33,2
28,33,2
59,59,0
4,59,1
11,59,1
18,59,1
19,59,1
20,59,1
21,59,1
24,59,1
25,59,1
29,59,1
31,59,1
33,59,1
37,59,1
38,59,1
39,59,1
44,59,1
48,59,1
51,59,1
54,59,1
56,59,1
58,59,1
0,59,2
1,59,2
2,59,2
3,59,2
5,59,2
6,59,2
7,59,2
8,59,2
9,59,2
10,59,2
12,59,2
13,59,2
14,59,2
15,59,2
16,59,2
17,59,2
22,59,2
23,59,2
26,59,2
27,59,2
28,59,2
30,59,2
32,59,2
34,59,2
35,59,2
36,59,2
40,59,2
41,59,2
42,59,2
43,59,2
45,59,2
46,59,2
47,59,2
49,59,2
50,59,2
52,59,2
53,59,2
55,59,2
44,44,0
2,44,1
7,44,1
8,44,1
10,44,1
17,44,1
21,44,1
22,44,1
23,44,1
25,44,1
27,44,1
28,44,1
30,44,1
31,44,1
32,44,1
34,44,1
35,44,1
36,44,1
37,44,1
38,44,1
42,44,1
0,44,2
1,44,2
3,44,2
4,44,2
5,44,2
6,44,2
9,44,2
11,44,2
12,44,2
13,44,2
14,44,2
15,44,2
16,44,2
18,44,2
19,44,2
20,44,2
24,44,2
26,44,2
29,44,2
33,44,2
39,44,2
38,38,0
1,38,1
2,38,1
3,38,1
9,38,1
10,38,1
11,38,1
15,38,1
17,38,1
20,38,1
21,38,1
24,38,1
26,38,1
27,38,1
28,38,1
30,38,1
31,38,1
32,38,1
34,38,1
36,38,1
37,38,1
0,38,2
4,38,2
5,38,2
6,38,2
7,38,2
8,38,2
12,38,2
13,38,2
14,38,2
16,38,2
18,38,2
19,38,2
22,38,2
23,38,2
25,38,2
29,38,2
33,38,2
35,38,2
51,51,0
2,51,1
19,51,1
20,51,1
21,51,1
24,51,1
25,51,1
26,51,1
27,51,1
30,51,1
33,51,1
34,51,1
38,51,1
39,51,1
40,51,1
43,51,1
46,51,1
47,51,1
48,51,1
49,51,1
50,51,1
0,51,2
1,51,2
3,51,2
4,51,2
5,51,2
6,51,2
7,51,2
8,51,2
9,51,2
10,51,2
11,51,2
12,51,2
13,51,2
14,51,2
15,51,2
16,51,2
17,51,2
18,51,2
22,51,2
23,51,2
28,51,2
29,51,2
31,51,2
32,51,2
35,51,2
36,51,2
37,51,2
41,51,2
42,51,2
44,51,2
45,51,2
45,45,0
0,45,1
2,45,1
4,45,1
9,45,1
13,45,1
14,45,1
16,45,1
22,45,1
23,45,1
24,45,1
31,45,1
32,45,1
33,45,1
34,45,1
36,45,1
37,45,1
38,45,1
39,45,1
41,45,1
44,45,1
1,45,2
3,45,2
5,45,2
6,45,2
7,45,2
8,45,2
10,45,2
11,45,2
12,45,2
15,45,2
17,45,2
18,45,2
19,45,2
20,45,2
21,45,2
25,45,2
26,45,2
27,45,2
28,45,2
29,45,2
30,45,2
35,45,2
42,45,2
41,41,0
1,41,1
2,41,1
3,41,1
5,41,1
8,41,1
13,41,1
17,41,1
20,41,1
21,41,1
22,41,1
23,41,1
27,41,1
28,41,1
29,41,1
30,41,1
31,41,1
33,41,1
36,41,1
38,41,1
39,41,1
0,41,2
4,41,2
6,41,2
7,41,2
9,41,2
10,41,2
11,41,2
12,41,2
14,41,2
15,41,2
16,41,2
18,41,2
19,41,2
24,41,2
25,41,2
26,41,2
32,41,2
34,41,2
35,41,2
37,41,2
23,23,0
0,23,1
1,23,1
2,23,1
3,23,1
4,23,1
5,23,1
6,23,1
7,23,1
8,23,1
9,23,1
10,23,1
11,23,1
12,23,1
14,23,1
15,23,1
16,23,1
17,23,1
20,23,1
21,23,1
22,23,1
13,23,2
18,23,2
19,23,2
37,37,0
0,37,1
2,37,1
5,37,1
7,37,1
8,37,1
17,37,1
18,37,1
19,37,1
21,37,1
22,37,1
23,37,1
25,37,1
26,37,1
27,37,1
28,37,1
30,37,1
31,37,1
32,37,1
33,37,1
36,37,1
1,37,2
3,37,2
4,37,2
6,37,2
9,37,2
10,37,2
11,37,2
12,37,2
13,37,2
14,37,2
15,37,2
16,37,2
20,37,2
24,37,2
29,37,2
34,37,2
35,37,2
49,49,0
0,49,1
3,49,1
4,49,1
5,49,1
7,49,1
8,49,1
16,49,1
23,49,1
25,49,1
26,49,1
28,49,1
29,49,1
31,49,1
32,49,1
33,49,1
35,49,1
38,49,1
42,49,1
46,49,1
47,49,1
1,49,2
2,49,2
6,49,2
9,49,2
10,49,2
11,49,2
12,49,2
13,49,2
14,49,2
15,49,2
17,49,2
18,49,2
19,49,2
20,49,2
21,49,2
22,49,2
24,49,2
27,49,2
30,49,2
34,49,2
36,49,2
37,49,2
39,49,2
40,49,2
41,49,2
43,49,2
45,49,2
44,49,3
30,30,0
1,30,1
4,30,1
5,30,1
8,30,1
9,30,1
11,30,1
14,30,1
15,30,1
16,30,1
17,30,1
20,30,1
21,30,1
22,30,1
23,30,1
24,30,1
25,30,1
26,30,1
27,30,1
28,30,1
29,30,1
0,30,2
2,30,2
3,30,2
6,30,2
7,30,2
10,30,2
12,30,2
13,30,2
18,30,2
19,30,2
18,18,0
17,17,0
65,65,0
4,65,1
9,65,1
16,65,1
23,65,1
25,65,1
29,65,1
31,65,1
34,65,1
36,65,1
39,65,1
42,65,1
43,65,1
46,65,1
49,65,1
52,65,1
54,65,1
57,65,1
58,65,1
62,65,1
64,65,1
0,65,2
1,65,2
2,65,2
3,65,2
5,65,2
6,65,2
7,65,2
8,65,2
10,65,2
11,65,2
12,65,2
13,65,2
14,65,2
15,65,2
17,65,2
18,65,2
19,65,2
20,65,2
21,65,2
22,65,2
24,65,2
26,65,2
27,65,2
28,65,2
30,65,2
32,65,2
33,65,2
35,65,2
37,65,2
38,65,2
40,65,2
41,65,2
44,65,2
45,65,2
47,65,2
48,65,2
51,65,2
53,65,2
55,65,2
56,65,2
61,65,2
50,65,3
59,65,3
5,5,0
50,50,0
3,50,1
8,50,1
16,50,1
17,50,1
19,50,1
21,50,1
24,50,1
25,50,1
28,50,1
30,50,1
31,50,1
32,50,1
38,50,1
40,50,1
41,50,1
42,50,1
45,50,1
46,50,1
47,50,1
49,50,1
0,50,2
1,50,2
2,50,2
4,50,2
5,50,2
6,50,2
7,50,2
9,50,2
10,50,2
11,50,2
12,50,2
13,50,2
14,50,2
15,50,2
18,50,2
20,50,2
22,50,2
23,50,2
26,50,2
27,50,2
29,50,2
33,50,2
34,50,2
35,50,2
36,50,2
37,50,2
39,50,2
43,50,2
44,50,2
8,8,0
20,20,0
0,20,1
1,20,1
2,20,1
3,20,1
4,20,1
5,20,1
6,20,1
7,20,1
8,20,1
9,20,1
10,20,1
11,20,1
12,20,1
13,20,1
14,20,1
15,20,1
16,20,1
17,20,1
18,20,1
19,20,1
2,2,0
1,1,0
26,26,0
0,26,1
1,26,1
2,26,1
5,26,1
7,26,1
