t-1,t,Source Node,Destination Node,Batch size
-1,0,39,61,1
-1,0,20,40,1
-1,0,47,15,1
-1,0,84,63,1
-1,0,1,51,1
-1,0,2,91,1
-1,0,95,39,1
-1,0,89,112,1
0,1,116,113,1
0,1,12,112,1
0,1,40,71,1
0,1,46,12,1
0,1,112,80,1
0,1,91,19,1
0,1,14,56,1
0,1,37,32,1
1,2,44,111,1
1,2,25,118,1
1,2,59,39,1
1,2,106,91,1
1,2,66,84,1
1,2,101,79,1
1,2,17,118,1
1,2,61,11,1
2,3,89,66,1
2,3,92,105,1
2,3,60,93,1
2,3,25,73,1
2,3,71,32,1
2,3,42,48,1
2,3,61,8,1
2,3,103,40,1
3,4,50,59,1
3,4,85,62,1
3,4,104,87,1
3,4,71,69,1
3,4,93,23,1
3,4,114,78,1
3,4,72,37,1
3,4,5,0,1
4,5,79,101,1
4,5,77,83,1
4,5,25,73,1
4,5,51,68,1
4,5,24,59,1
4,5,5,67,1
4,5,111,44,1
4,5,14,105,1
5,6,14,56,1
5,6,71,40,1
5,6,10,21,1
5,6,36,97,1
5,6,30,80,1
5,6,69,81,1
5,6,90,88,1
5,6,97,36,1
6,7,91,49,1
6,7,86,94,1
6,7,87,50,1
6,7,87,50,1
6,7,7,108,1
6,7,72,71,1
6,7,74,31,1
6,7,80,43,1
7,8,81,47,1
7,8,86,21,1
7,8,112,89,1
7,8,86,21,1
7,8,38,34,1
7,8,89,66,1
7,8,89,2,1
7,8,0,5,1
8,9,95,85,1
8,9,118,67,1
8,9,117,108,1
8,9,57,75,1
8,9,23,93,1
8,9,59,50,1
8,9,58,111,1
8,9,41,53,1
9,10,94,59,1
9,10,84,69,1
9,10,25,26,1
9,10,18,45,1
9,10,19,101,1
9,10,84,42,1
9,10,101,29,1
9,10,114,32,1
10,11,79,8,1
10,11,47,112,1
10,11,14,56,1
10,11,85,62,1
10,11,34,113,1
10,11,3,61,1
10,11,39,105,1
10,11,117,119,1
11,12,111,44,1
11,12,89,4,1
11,12,89,104,1
11,12,104,89,1
11,12,71,46,1
11,12,32,114,1
11,12,49,69,1
11,12,96,52,1
12,13,112,10,1
12,13,60,23,1
12,13,92,5,1
12,13,52,62,1
12,13,109,8,1
12,13,84,115,1
12,13,51,68,1
12,13,37,114,1
13,14,83,65,1
13,14,69,81,1
13,14,49,71,1
13,14,71,32,1
13,14,52,102,1
13,14,62,13,1
13,14,62,85,1
13,14,77,83,1
14,15,108,119,1
14,15,82,89,1
14,15,3,61,1
14,15,59,50,1
14,15,41,36,1
14,15,13,0,1
14,15,89,2,1
14,15,91,49,1
15,16,39,95,1
15,16,50,76,1
15,16,37,12,1
15,16,83,98,1
15,16,1,68,1
15,16,43,58,1
15,16,38,34,1
15,16,98,83,1
16,17,58,111,1
16,17,48,90,1
16,17,20,3,1
16,17,107,0,1
16,17,108,117,1
16,17,5,61,1
16,17,49,69,1
16,17,47,61,1
17,18,32,114,1
17,18,47,26,1
17,18,76,70,1
17,18,51,68,1
17,18,50,14,1
17,18,57,70,1
17,18,57,70,1
17,18,60,15,1
18,19,7,119,1
18,19,14,105,1
18,19,42,96,1
18,19,9,106,1
18,19,82,97,1
18,19,63,84,1
18,19,87,50,1
18,19,113,34,1
19,20,37,114,1
19,20,2,31,1
19,20,31,97,1
19,20,56,84,1
19,20,86,94,1
19,20,47,80,1
19,20,111,44,1
19,20,52,55,1
20,21,118,35,1
20,21,78,44,1
20,21,47,81,1
20,21,92,77,1
20,21,83,88,1
20,21,119,117,1
20,21,115,84,1
20,21,62,13,1
21,22,52,55,1
21,22,53,114,1
21,22,31,2,1
21,22,83,77,1
21,22,59,94,1
21,22,53,41,1
21,22,85,62,1
21,22,18,45,1
22,23,72,37,1
22,23,84,66,1
22,23,93,31,1
22,23,40,20,1
22,23,20,40,1
22,23,33,6,1
22,23,8,109,1
22,23,4,60,1
23,24,16,17,1
23,24,25,26,1
23,24,40,103,1
23,24,113,34,1
23,24,40,71,1
23,24,18,45,1
23,24,48,39,1
23,24,92,102,1
24,25,0,82,1
24,25,89,112,1
24,25,14,105,1
24,25,80,43,1
24,25,49,69,1
24,25,34,113,1
24,25,89,112,1
24,25,85,59,1
25,26,101,61,1
25,26,61,101,1
25,26,15,47,1
25,26,36,97,1
25,26,115,84,1
25,26,59,24,1
25,26,80,47,1
25,26,87,70,1
26,27,16,117,1
26,27,76,70,1
26,27,71,72,1
26,27,61,3,1
26,27,76,98,1
26,27,71,114,1
26,27,49,91,1
26,27,5,1,1
27,28,28,103,1
27,28,50,0,1
27,28,93,23,1
27,28,44,49,1
27,28,50,76,1
27,28,73,113,1
27,28,44,78,1
27,28,25,118,1
28,29,78,114,1
28,29,71,46,1
28,29,46,71,1
28,29,83,65,1
28,29,61,11,1
28,29,8,109,1
28,29,47,26,1
28,29,39,105,1
29,30,58,31,1
29,30,103,40,1
29,30,34,38,1
29,30,78,40,1
29,30,82,97,1
29,30,77,27,1
29,30,97,5,1
29,30,53,34,1
30,31,61,101,1
30,31,62,99,1
30,31,113,82,1
30,31,34,53,1
30,31,20,3,1
30,31,57,75,1
30,31,115,66,1
30,31,9,106,1
31,32,104,87,1
31,32,110,39,1
31,32,97,3,1
31,32,69,84,1
31,32,61,5,1
31,32,53,41,1
31,32,47,15,1
31,32,50,0,1
32,33,81,69,1
32,33,39,110,1
32,33,47,80,1
32,33,93,15,1
32,33,13,0,1
32,33,68,101,1
32,33,72,71,1
32,33,6,33,1
33,34,55,88,1
33,34,111,9,1
33,34,55,14,1
33,34,4,15,1
33,34,59,94,1
33,34,114,53,1
33,34,13,62,1
33,34,78,40,1
34,35,86,94,1
34,35,69,49,1
34,35,113,116,1
34,35,19,91,1
34,35,82,36,1
34,35,60,4,1
34,35,100,83,1
34,35,113,33,1
35,36,40,68,1
35,36,91,49,1
35,36,93,94,1
35,36,105,39,1
35,36,65,83,1
35,36,85,15,1
35,36,33,71,1
35,36,104,13,1
36,37,61,39,1
36,37,17,16,1
36,37,90,88,1
36,37,49,44,1
36,37,95,50,1
36,37,88,83,1
36,37,114,53,1
36,37,119,108,1
37,38,2,87,1
37,38,39,110,1
37,38,10,112,1
37,38,87,2,1
37,38,93,31,1
37,38,58,31,1
37,38,39,105,1
37,38,115,84,1
38,39,59,21,1
38,39,101,29,1
38,39,82,68,1
38,39,106,37,1
38,39,78,44,1
38,39,102,52,1
38,39,76,98,1
38,39,20,40,1
39,40,0,13,1
39,40,112,80,1
39,40,34,38,1
39,40,119,7,1
39,40,15,60,1
39,40,72,37,1
39,40,78,33,1
39,40,110,39,1
40,41,71,40,1
40,41,82,113,1
40,41,81,47,1
40,41,89,23,1
40,41,47,80,1
40,41,55,52,1
40,41,68,82,1
40,41,28,29,1
41,42,24,59,1
41,42,59,24,1
41,42,3,20,1
41,42,100,83,1
41,42,67,118,1
41,42,73,113,1
41,42,112,47,1
41,42,15,47,1
42,43,77,98,1
42,43,43,58,1
42,43,97,3,1
42,43,9,97,1
42,43,32,69,1
42,43,5,97,1
42,43,115,49,1
42,43,61,8,1
43,44,92,105,1
43,44,15,60,1
43,44,60,4,1
43,44,34,38,1
43,44,66,89,1
43,44,73,25,1
43,44,61,11,1
43,44,33,6,1
44,45,80,112,1
44,45,96,52,1
44,45,49,69,1
44,45,114,32,1
44,45,57,68,1
44,45,8,109,1
44,45,84,10,1
44,45,102,92,1
45,46,88,62,1
45,46,34,38,1
45,46,76,50,1
45,46,109,8,1
45,46,89,4,1
45,46,10,112,1
45,46,117,105,1
45,46,21,86,1
46,47,87,70,1
46,47,69,32,1
46,47,94,86,1
46,47,44,111,1
46,47,42,84,1
46,47,39,55,1
46,47,49,44,1
46,47,60,87,1
47,48,55,14,1
47,48,118,67,1
47,48,95,76,1
47,48,9,106,1
47,48,61,101,1
47,48,94,93,1
47,48,97,31,1
47,48,101,79,1
48,49,106,33,1
48,49,60,93,1
48,49,63,84,1
48,49,27,77,1
48,49,53,41,1
48,49,1,68,1
48,49,110,70,1
48,49,20,61,1
49,50,82,0,1
49,50,98,77,1
49,50,105,117,1
49,50,0,13,1
49,50,83,100,1
49,50,2,89,1
49,50,114,32,1
49,50,117,16,1
50,51,113,82,1
50,51,71,44,1
50,51,87,2,1
50,51,106,9,1
50,51,52,96,1
50,51,77,92,1
50,51,32,71,1
50,51,20,28,1
51,52,119,7,1
51,52,4,60,1
51,52,61,39,1
51,52,61,11,1
51,52,84,56,1
51,52,4,15,1
51,52,71,72,1
51,52,26,25,1
52,53,33,71,1
52,53,8,109,1
52,53,85,59,1
52,53,75,57,1
52,53,4,0,1
52,53,32,63,1
52,53,20,28,1
52,53,85,15,1
53,54,104,87,1
53,54,113,82,1
53,54,69,32,1
53,54,82,0,1
53,54,59,85,1
53,54,102,92,1
53,54,59,50,1
53,54,70,87,1
54,55,33,6,1
54,55,75,57,1
54,55,0,50,1
54,55,110,87,1
54,55,40,114,1
54,55,69,84,1
54,55,76,95,1
54,55,28,29,1
55,56,88,83,1
55,56,97,5,1
55,56,98,83,1
55,56,8,109,1
55,56,31,2,1
55,56,40,71,1
55,56,39,105,1
55,56,72,49,1
56,57,89,23,1
56,57,67,118,1
56,57,119,7,1
56,57,91,19,1
56,57,84,10,1
56,57,32,69,1
56,57,114,53,1
56,57,20,3,1
57,58,96,52,1
57,58,2,87,1
57,58,25,26,1
57,58,72,49,1
57,58,81,47,1
57,58,34,113,1
57,58,60,87,1
57,58,71,49,1
58,59,40,68,1
58,59,31,58,1
58,59,114,78,1
58,59,105,39,1
58,59,49,44,1
58,59,7,73,1
58,59,55,39,1
58,59,71,46,1
59,60,118,17,1
59,60,69,31,1
59,60,95,39,1
59,60,36,82,1
59,60,56,84,1
59,60,62,99,1
59,60,14,55,1
59,60,62,99,1
60,61,37,106,1
60,61,35,118,1
60,61,72,71,1
60,61,63,84,1
60,61,17,118,1
60,61,59,50,1
60,61,88,90,1
60,61,48,42,1
61,62,96,52,1
61,62,72,71,1
61,62,114,36,1
61,62,98,83,1
61,62,20,9,1
61,62,40,114,1
61,62,114,36,1
61,62,59,24,1
62,63,89,23,1
62,63,12,37,1
62,63,46,71,1
62,63,0,13,1
62,63,46,72,1
62,63,50,95,1
62,63,39,61,1
62,63,66,115,1
63,64,39,95,1
63,64,56,81,1
63,64,42,96,1
63,64,95,76,1
63,64,85,62,1
63,64,52,96,1
63,64,109,8,1
63,64,112,10,1
64,65,104,13,1
64,65,99,62,1
64,65,67,118,1
64,65,52,102,1
64,65,2,91,1
64,65,47,81,1
64,65,114,36,1
64,65,118,17,1
65,66,55,88,1
65,66,111,106,1
65,66,40,78,1
65,66,89,112,1
65,66,77,92,1
65,66,16,17,1
65,66,87,80,1
65,66,50,14,1
66,67,49,71,1
66,67,8,109,1
66,67,114,53,1
66,67,84,42,1
66,67,34,53,1
66,67,17,118,1
66,67,91,49,1
66,67,29,28,1
67,68,69,84,1
67,68,40,54,1
67,68,87,80,1
67,68,15,85,1
67,68,5,92,1
67,68,84,115,1
67,68,72,71,1
67,68,110,38,1
68,69,1,68,1
68,69,102,92,1
68,69,25,26,1
68,69,70,57,1
68,69,3,97,1
68,69,84,42,1
68,69,51,20,1
68,69,25,73,1
69,70,48,42,1
69,70,10,21,1
69,70,60,15,1
69,70,78,44,1
69,70,47,36,1
69,70,5,0,1
69,70,117,119,1
69,70,48,90,1
70,71,33,71,1
70,71,2,31,1
70,71,31,74,1
70,71,18,45,1
70,71,16,117,1
70,71,118,25,1
70,71,21,10,1
70,71,111,44,1
71,72,118,35,1
71,72,52,96,1
71,72,0,4,1
71,72,90,48,1
71,72,97,31,1
71,72,62,52,1
71,72,85,95,1
71,72,16,26,1
72,73,26,47,1
72,73,114,37,1
72,73,59,39,1
72,73,5,92,1
72,73,6,40,1
72,73,69,32,1
72,73,117,119,1
72,73,41,36,1
73,74,66,113,1
73,74,95,39,1
73,74,87,70,1
73,74,36,41,1
73,74,7,73,1
73,74,8,109,1
73,74,22,3,1
73,74,79,9,1
74,75,62,102,1
74,75,97,82,1
74,75,37,106,1
74,75,113,66,1
74,75,59,21,1
74,75,105,39,1
74,75,112,10,1
74,75,93,15,1
75,76,109,48,1
75,76,40,6,1
75,76,21,10,1
75,76,113,82,1
75,76,8,79,1
75,76,106,111,1
75,76,91,49,1
75,76,101,61,1
76,77,61,101,1
76,77,91,19,1
76,77,62,88,1
76,77,14,56,1
76,77,115,49,1
76,77,113,73,1
76,77,113,116,1
76,77,106,33,1
77,78,2,31,1
77,78,97,36,1
77,78,48,39,1
77,78,62,13,1
77,78,42,96,1
77,78,37,32,1
77,78,114,53,1
77,78,50,59,1
78,79,85,62,1
78,79,101,19,1
78,79,82,0,1
78,79,101,61,1
78,79,55,14,1
78,79,119,108,1
78,79,112,89,1
78,79,82,36,1
79,80,71,44,1
79,80,49,91,1
79,80,89,2,1
79,80,25,26,1
79,80,47,61,1
79,80,113,73,1
79,80,14,50,1
79,80,88,62,1
80,81,94,93,1
80,81,71,49,1
80,81,43,58,1
80,81,47,26,1
80,81,14,105,1
80,81,105,92,1
80,81,113,66,1
80,81,106,9,1
81,82,59,24,1
81,82,87,104,1
81,82,73,25,1
81,82,61,101,1
81,82,49,72,1
81,82,66,89,1
81,82,33,106,1
81,82,59,94,1
82,83,105,92,1
82,83,55,88,1
82,83,57,70,1
82,83,11,61,1
82,83,110,90,1
82,83,57,68,1
82,83,1,51,1
82,83,62,13,1
83,84,5,67,1
83,84,80,30,1
83,84,101,19,1
83,84,10,21,1
83,84,12,37,1
83,84,112,89,1
83,84,14,105,1
83,84,87,70,1
84,85,48,39,1
84,85,16,17,1
84,85,23,60,1
84,85,18,45,1
84,85,4,0,1
84,85,62,13,1
84,85,20,40,1
84,85,16,26,1
85,86,15,85,1
85,86,66,84,1
85,86,76,50,1
85,86,50,87,1
85,86,28,103,1
85,86,60,87,1
85,86,103,40,1
85,86,113,34,1
86,87,62,13,1
86,87,76,94,1
86,87,46,71,1
86,87,40,6,1
86,87,0,13,1
86,87,104,13,1
86,87,96,42,1
86,87,47,112,1
87,88,41,53,1
87,88,48,109,1
87,88,106,111,1
87,88,106,111,1
87,88,40,103,1
87,88,114,71,1
87,88,81,47,1
87,88,69,81,1
88,89,3,20,1
88,89,111,106,1
88,89,13,62,1
88,89,78,114,1
88,89,93,5,1
88,89,84,63,1
88,89,36,114,1
88,89,71,49,1
89,90,5,0,1
89,90,49,71,1
89,90,113,82,1
89,90,97,82,1
89,90,111,58,1
89,90,73,7,1
89,90,52,96,1
89,90,36,82,1
90,91,108,7,1
90,91,60,15,1
90,91,71,114,1
90,91,49,69,1
90,91,27,77,1
90,91,14,50,1
90,91,90,110,1
90,91,46,12,1
91,92,68,82,1
91,92,106,111,1
91,92,12,37,1
91,92,39,95,1
91,92,113,82,1
91,92,33,71,1
91,92,53,114,1
91,92,52,102,1
92,93,82,89,1
92,93,59,24,1
92,93,40,71,1
92,93,7,108,1
92,93,4,60,1
92,93,26,25,1
92,93,26,16,1
92,93,111,106,1
93,94,31,58,1
93,94,61,39,1
93,94,39,61,1
93,94,14,105,1
93,94,49,71,1
93,94,2,31,1
93,94,39,55,1
93,94,108,7,1
94,95,62,102,1
94,95,39,48,1
94,95,33,6,1
94,95,51,68,1
94,95,0,82,1
94,95,97,31,1
94,95,49,72,1
94,95,96,42,1
95,96,42,48,1
95,96,29,28,1
95,96,29,101,1
95,96,26,16,1
95,96,62,99,1
95,96,33,71,1
95,96,58,43,1
95,96,71,40,1
96,97,11,61,1
96,97,31,97,1
96,97,0,107,1
96,97,3,20,1
96,97,48,39,1
96,97,97,5,1
96,97,66,84,1
96,97,17,16,1
97,98,100,83,1
97,98,70,57,1
97,98,78,44,1
97,98,114,40,1
97,98,36,97,1
97,98,1,5,1
97,98,91,2,1
97,98,0,82,1
98,99,14,105,1
