number	description
0	uniform distribution over all 1040 nodes
1	uniform distribution over 173 highest degree nodes
2	uniform distribution over 173 highest capacity nodes
3	uniform distribution over 1 highest degree nodes and 172 highest capacity nodes
4	uniform distribution over 2 highest degree nodes and 171 highest capacity nodes
5	uniform distribution over 3 highest degree nodes and 170 highest capacity nodes
6	uniform distribution over 4 highest degree nodes and 169 highest capacity nodes
7	uniform distribution over 5 highest degree nodes and 168 highest capacity nodes
8	uniform distribution over 6 highest degree nodes and 167 highest capacity nodes
9	uniform distribution over 7 highest degree nodes and 166 highest capacity nodes
10	uniform distribution over 8 highest degree nodes and 165 highest capacity nodes
11	uniform distribution over 9 highest degree nodes and 164 highest capacity nodes
12	uniform distribution over 10 highest degree nodes and 163 highest capacity nodes
13	uniform distribution over 11 highest degree nodes and 162 highest capacity nodes
14	uniform distribution over 12 highest degree nodes and 161 highest capacity nodes
15	uniform distribution over 13 highest degree nodes and 160 highest capacity nodes
16	uniform distribution over 14 highest degree nodes and 159 highest capacity nodes
17	uniform distribution over 15 highest degree nodes and 158 highest capacity nodes
18	uniform distribution over 16 highest degree nodes and 157 highest capacity nodes
19	uniform distribution over 17 highest degree nodes and 156 highest capacity nodes
20	uniform distribution over 18 highest degree nodes and 155 highest capacity nodes
21	uniform distribution over 19 highest degree nodes and 154 highest capacity nodes
22	uniform distribution over 20 highest degree nodes and 153 highest capacity nodes
23	uniform distribution over 21 highest degree nodes and 152 highest capacity nodes
24	uniform distribution over 22 highest degree nodes and 151 highest capacity nodes
25	uniform distribution over 23 highest degree nodes and 150 highest capacity nodes
26	uniform distribution over 24 highest degree nodes and 149 highest capacity nodes
27	uniform distribution over 25 highest degree nodes and 148 highest capacity nodes
28	uniform distribution over 26 highest degree nodes and 147 highest capacity nodes
29	uniform distribution over 27 highest degree nodes and 146 highest capacity nodes
30	uniform distribution over 28 highest degree nodes and 145 highest capacity nodes
31	uniform distribution over 29 highest degree nodes and 144 highest capacity nodes
32	uniform distribution over 30 highest degree nodes and 143 highest capacity nodes
33	uniform distribution over 31 highest degree nodes and 142 highest capacity nodes
34	uniform distribution over 32 highest degree nodes and 141 highest capacity nodes
35	uniform distribution over 33 highest degree nodes and 140 highest capacity nodes
36	uniform distribution over 34 highest degree nodes and 139 highest capacity nodes
37	uniform distribution over 35 highest degree nodes and 138 highest capacity nodes
38	uniform distribution over 36 highest degree nodes and 137 highest capacity nodes
39	uniform distribution over 37 highest degree nodes and 136 highest capacity nodes
40	uniform distribution over 38 highest degree nodes and 135 highest capacity nodes
41	uniform distribution over 39 highest degree nodes and 134 highest capacity nodes
42	uniform distribution over 40 highest degree nodes and 133 highest capacity nodes
43	uniform distribution over 41 highest degree nodes and 132 highest capacity nodes
44	uniform distribution over 42 highest degree nodes and 131 highest capacity nodes
45	uniform distribution over 43 highest degree nodes and 130 highest capacity nodes
46	uniform distribution over 44 highest degree nodes and 129 highest capacity nodes
47	uniform distribution over 45 highest degree nodes and 128 highest capacity nodes
48	uniform distribution over 46 highest degree nodes and 127 highest capacity nodes
49	uniform distribution over 47 highest degree nodes and 126 highest capacity nodes
50	uniform distribution over 48 highest degree nodes and 125 highest capacity nodes
51	uniform distribution over 49 highest degree nodes and 124 highest capacity nodes
52	uniform distribution over 50 highest degree nodes and 123 highest capacity nodes
53	uniform distribution over 51 highest degree nodes and 122 highest capacity nodes
54	uniform distribution over 52 highest degree nodes and 121 highest capacity nodes
55	uniform distribution over 53 highest degree nodes and 120 highest capacity nodes
56	uniform distribution over 54 highest degree nodes and 119 highest capacity nodes
57	uniform distribution over 55 highest degree nodes and 118 highest capacity nodes
58	uniform distribution over 56 highest degree nodes and 117 highest capacity nodes
59	uniform distribution over 57 highest degree nodes and 116 highest capacity nodes
60	uniform distribution over 58 highest degree nodes and 115 highest capacity nodes
61	uniform distribution over 59 highest degree nodes and 114 highest capacity nodes
62	uniform distribution over 60 highest degree nodes and 113 highest capacity nodes
63	uniform distribution over 61 highest degree nodes and 112 highest capacity nodes
64	uniform distribution over 62 highest degree nodes and 111 highest capacity nodes
65	uniform distribution over 63 highest degree nodes and 110 highest capacity nodes
66	uniform distribution over 64 highest degree nodes and 109 highest capacity nodes
67	uniform distribution over 65 highest degree nodes and 108 highest capacity nodes
68	uniform distribution over 66 highest degree nodes and 107 highest capacity nodes
69	uniform distribution over 67 highest degree nodes and 106 highest capacity nodes
70	uniform distribution over 68 highest degree nodes and 105 highest capacity nodes
71	uniform distribution over 69 highest degree nodes and 104 highest capacity nodes
72	uniform distribution over 70 highest degree nodes and 103 highest capacity nodes
73	uniform distribution over 71 highest degree nodes and 102 highest capacity nodes
74	uniform distribution over 72 highest degree nodes and 101 highest capacity nodes
75	uniform distribution over 73 highest degree nodes and 100 highest capacity nodes
76	uniform distribution over 74 highest degree nodes and 99 highest capacity nodes
77	uniform distribution over 75 highest degree nodes and 98 highest capacity nodes
78	uniform distribution over 76 highest degree nodes and 97 highest capacity nodes
79	uniform distribution over 77 highest degree nodes and 96 highest capacity nodes
80	uniform distribution over 78 highest degree nodes and 95 highest capacity nodes
81	uniform distribution over 79 highest degree nodes and 94 highest capacity nodes
82	uniform distribution over 80 highest degree nodes and 93 highest capacity nodes
83	uniform distribution over 81 highest degree nodes and 92 highest capacity nodes
84	uniform distribution over 82 highest degree nodes and 91 highest capacity nodes
85	uniform distribution over 83 highest degree nodes and 90 highest capacity nodes
86	uniform distribution over 84 highest degree nodes and 89 highest capacity nodes
87	uniform distribution over 85 highest degree nodes and 88 highest capacity nodes
88	uniform distribution over 86 highest degree nodes and 87 highest capacity nodes
89	uniform distribution over 87 highest degree nodes and 86 highest capacity nodes
90	uniform distribution over 88 highest degree nodes and 85 highest capacity nodes
91	uniform distribution over 89 highest degree nodes and 84 highest capacity nodes
92	uniform distribution over 90 highest degree nodes and 83 highest capacity nodes
93	uniform distribution over 91 highest degree nodes and 82 highest capacity nodes
94	uniform distribution over 92 highest degree nodes and 81 highest capacity nodes
95	uniform distribution over 93 highest degree nodes and 80 highest capacity nodes
96	uniform distribution over 94 highest degree nodes and 79 highest capacity nodes
97	uniform distribution over 95 highest degree nodes and 78 highest capacity nodes
98	uniform distribution over 96 highest degree nodes and 77 highest capacity nodes
99	uniform distribution over 97 highest degree nodes and 76 highest capacity nodes
100	uniform distribution over 98 highest degree nodes and 75 highest capacity nodes
101	uniform distribution over 99 highest degree nodes and 74 highest capacity nodes
102	uniform distribution over 100 highest degree nodes and 73 highest capacity nodes
103	uniform distribution over 101 highest degree nodes and 72 highest capacity nodes
104	uniform distribution over 102 highest degree nodes and 71 highest capacity nodes
105	uniform distribution over 103 highest degree nodes and 70 highest capacity nodes
106	uniform distribution over 104 highest degree nodes and 69 highest capacity nodes
107	uniform distribution over 105 highest degree nodes and 68 highest capacity nodes
108	uniform distribution over 106 highest degree nodes and 67 highest capacity nodes
109	uniform distribution over 107 highest degree nodes and 66 highest capacity nodes
110	uniform distribution over 108 highest degree nodes and 65 highest capacity nodes
111	uniform distribution over 109 highest degree nodes and 64 highest capacity nodes
112	uniform distribution over 110 highest degree nodes and 63 highest capacity nodes
113	uniform distribution over 111 highest degree nodes and 62 highest capacity nodes
114	uniform distribution over 112 highest degree nodes and 61 highest capacity nodes
115	uniform distribution over 113 highest degree nodes and 60 highest capacity nodes
116	uniform distribution over 114 highest degree nodes and 59 highest capacity nodes
117	uniform distribution over 115 highest degree nodes and 58 highest capacity nodes
118	uniform distribution over 116 highest degree nodes and 57 highest capacity nodes
119	uniform distribution over 117 highest degree nodes and 56 highest capacity nodes
120	uniform distribution over 118 highest degree nodes and 55 highest capacity nodes
121	uniform distribution over 119 highest degree nodes and 54 highest capacity nodes
122	uniform distribution over 120 highest degree nodes and 53 highest capacity nodes
123	uniform distribution over 121 highest degree nodes and 52 highest capacity nodes
124	uniform distribution over 122 highest degree nodes and 51 highest capacity nodes
125	uniform distribution over 123 highest degree nodes and 50 highest capacity nodes
126	uniform distribution over 124 highest degree nodes and 49 highest capacity nodes
127	uniform distribution over 125 highest degree nodes and 48 highest capacity nodes
128	uniform distribution over 126 highest degree nodes and 47 highest capacity nodes
129	uniform distribution over 127 highest degree nodes and 46 highest capacity nodes
130	uniform distribution over 128 highest degree nodes and 45 highest capacity nodes
131	uniform distribution over 129 highest degree nodes and 44 highest capacity nodes
132	uniform distribution over 130 highest degree nodes and 43 highest capacity nodes
133	uniform distribution over 131 highest degree nodes and 42 highest capacity nodes
134	uniform distribution over 132 highest degree nodes and 41 highest capacity nodes
135	uniform distribution over 133 highest degree nodes and 40 highest capacity nodes
136	uniform distribution over 134 highest degree nodes and 39 highest capacity nodes
137	uniform distribution over 135 highest degree nodes and 38 highest capacity nodes
138	uniform distribution over 136 highest degree nodes and 37 highest capacity nodes
139	uniform distribution over 137 highest degree nodes and 36 highest capacity nodes
140	uniform distribution over 138 highest degree nodes and 35 highest capacity nodes
141	uniform distribution over 139 highest degree nodes and 34 highest capacity nodes
142	uniform distribution over 140 highest degree nodes and 33 highest capacity nodes
143	uniform distribution over 141 highest degree nodes and 32 highest capacity nodes
144	uniform distribution over 142 highest degree nodes and 31 highest capacity nodes
145	uniform distribution over 143 highest degree nodes and 30 highest capacity nodes
146	uniform distribution over 144 highest degree nodes and 29 highest capacity nodes
147	uniform distribution over 145 highest degree nodes and 28 highest capacity nodes
148	uniform distribution over 146 highest degree nodes and 27 highest capacity nodes
149	uniform distribution over 147 highest degree nodes and 26 highest capacity nodes
150	uniform distribution over 148 highest degree nodes and 25 highest capacity nodes
151	uniform distribution over 149 highest degree nodes and 24 highest capacity nodes
152	uniform distribution over 150 highest degree nodes and 23 highest capacity nodes
153	uniform distribution over 151 highest degree nodes and 22 highest capacity nodes
154	uniform distribution over 152 highest degree nodes and 21 highest capacity nodes
155	uniform distribution over 153 highest degree nodes and 20 highest capacity nodes
156	uniform distribution over 154 highest degree nodes and 19 highest capacity nodes
157	uniform distribution over 155 highest degree nodes and 18 highest capacity nodes
158	uniform distribution over 156 highest degree nodes and 17 highest capacity nodes
159	uniform distribution over 157 highest degree nodes and 16 highest capacity nodes
160	uniform distribution over 158 highest degree nodes and 15 highest capacity nodes
161	uniform distribution over 159 highest degree nodes and 14 highest capacity nodes
162	uniform distribution over 160 highest degree nodes and 13 highest capacity nodes
163	uniform distribution over 161 highest degree nodes and 12 highest capacity nodes
164	uniform distribution over 162 highest degree nodes and 11 highest capacity nodes
165	uniform distribution over 163 highest degree nodes and 10 highest capacity nodes
166	uniform distribution over 164 highest degree nodes and 9 highest capacity nodes
167	uniform distribution over 165 highest degree nodes and 8 highest capacity nodes
168	uniform distribution over 166 highest degree nodes and 7 highest capacity nodes
169	uniform distribution over 167 highest degree nodes and 6 highest capacity nodes
170	uniform distribution over 168 highest degree nodes and 5 highest capacity nodes
171	uniform distribution over 169 highest degree nodes and 4 highest capacity nodes
172	uniform distribution over 170 highest degree nodes and 3 highest capacity nodes
173	uniform distribution over 171 highest degree nodes and 2 highest capacity nodes
174	uniform distribution over 172 highest degree nodes and 1 highest capacity nodes
175	uniform distribution over 86 highest degree nodes
176	uniform distribution over 86 highest capacity nodes
177	uniform distribution over 1 highest degree nodes and 85 highest capacity nodes
178	uniform distribution over 2 highest degree nodes and 84 highest capacity nodes
179	uniform distribution over 3 highest degree nodes and 83 highest capacity nodes
180	uniform distribution over 4 highest degree nodes and 82 highest capacity nodes
181	uniform distribution over 5 highest degree nodes and 81 highest capacity nodes
182	uniform distribution over 6 highest degree nodes and 80 highest capacity nodes
183	uniform distribution over 7 highest degree nodes and 79 highest capacity nodes
184	uniform distribution over 8 highest degree nodes and 78 highest capacity nodes
185	uniform distribution over 9 highest degree nodes and 77 highest capacity nodes
186	uniform distribution over 10 highest degree nodes and 76 highest capacity nodes
187	uniform distribution over 11 highest degree nodes and 75 highest capacity nodes
188	uniform distribution over 12 highest degree nodes and 74 highest capacity nodes
